ImageID,Class
2.26E+14,Equipment
8.02E+14,Automobile
9.22E+14,Building
1.32E+15,Automobile
1.63E+15,Person
1.92E+15,Tree
2.75E+15,Automobile
2.80E+15,Equipment
3.24E+15,Electronics
3.84E+15,Animal
4.28E+15,Animal
4.38E+15,Automobile
5.07E+15,Food_stuff
5.63E+15,Person
5.72E+15,Equipment
6.80E+15,Food_stuff
6.98E+15,Animal
7.04E+15,Person
9.44E+15,Automobile
9.90E+15,Automobile
2.51E+54,Food_stuff
1.35E+63,Food_stuff
2.68E+68,Person
7.60E+101,Tree
7.08E+160,Person
0001eeaf4aed83f9,Automobile
000595fe6fee6369,Food_stuff
00075905539074f2,Person
0007cebe1b2ba653,Person
0007d6cf88afaa4a,Animal
0008e425fb49a2bf,Animal
0009bad4d8539bb4,Automobile
000a045a0715d64d,Person
000a1249af2bc5f0,Person
000ada55d36b4bcb,Food_stuff
000c4d66ce89aa69,Animal
00101a0160a05d31,Food_stuff
001083f05db4352b,Equipment
0010c714a5da358a,Clothes_accessories
0013e81caff9a7b2,Food_stuff
0013ea2087020901,Person
00141571d986d241,Person
001464cfae2a30b8,Food_stuff
00146ba1e50ed8d8,Person
00173afdc7581c41,Person
001840a807e454c7,Person
0019308d876736fe,Food_stuff
001997021f01f208,Person
0019e544c79847f5,Automobile
001a78754e43abc5,Tree
001a794d1865ee47,Automobile
001a809ad40a2f84,Person
001a995c1e25d892,Automobile
001ffaceaff5f33f,Animal
0022bffa9abfb554,Animal
0022d0ab1e1347ab,Animal
0022e32008e479cb,Electronics
0022ecd6f681bed6,Food_stuff
00230c216711fceb,Equipment
002aab1d644cae0e,Animal
002b0dc60b1068a9,Clothes_accessories
002cfe2087f432e0,Animal
002d1dd67c722d98,Electronics
002f8241bd829022,Automobile
003132be85a0beae,Equipment
0032257bf3cd56d0,Animal
003232584a062b07,Food_stuff
00358e88c4d3c953,Animal
0035a5f752a459e1,Food_stuff
0035c28612c035fd,Food_stuff
00361cb81ebf27c3,Food_stuff
003775320f1d6937,Furniture
00385794700c832e,Tree
003a5aaf6d17c917,Automobile
003e1e6baff436f7,Tree
0040009ad56c2bc2,Clothes_accessories
00437aa0ab4abf9d,Animal
00455ae2731e1046,Animal
0047534bb816eb48,Tree
00493fdf106b5fdf,Animal
004a30a1ca460088,Animal
004a9412eb1a83e8,Tree
004a9ec75eca5910,Food_stuff
004dd2ac922baf98,Clothes_accessories
004fff593a179654,Tree
00575b9132bb3746,Automobile
005b598d8fecb139,Automobile
